,datetime,ask,bid
1011,2023-07-19 15:15:46.107057,1.29518,1.29506
1012,2023-07-19 15:15:46.169541,1.29518,1.29506
1013,2023-07-19 15:15:46.263057,1.29518,1.29506
1014,2023-07-19 15:15:46.350060,1.29518,1.29506
1015,2023-07-19 15:15:46.436927,1.29518,1.29506
1016,2023-07-19 15:15:46.522891,1.29518,1.29506
1017,2023-07-19 15:15:46.575808,1.29518,1.29506
1018,2023-07-19 15:15:46.654014,1.29518,1.29506
1019,2023-07-19 15:15:46.716500,1.29518,1.29506
1020,2023-07-19 15:15:46.793573,1.29518,1.29506
1021,2023-07-19 15:15:46.855819,1.29518,1.29506
1022,2023-07-19 15:15:46.916621,1.29518,1.29506
1023,2023-07-19 15:15:46.979786,1.29518,1.29506
1024,2023-07-19 15:15:47.074229,1.29518,1.29506
1025,2023-07-19 15:15:47.155920,1.29518,1.29506
1026,2023-07-19 15:15:47.230721,1.29518,1.29506
1027,2023-07-19 15:15:47.306516,1.29518,1.29506
1028,2023-07-19 15:15:47.381317,1.29518,1.29506
1029,2023-07-19 15:15:47.451597,1.29518,1.29506
1030,2023-07-19 15:15:47.527197,1.29518,1.29506
1031,2023-07-19 15:15:47.597969,1.29518,1.29506
1032,2023-07-19 15:15:47.677734,1.29518,1.29506
1033,2023-07-19 15:15:47.758856,1.29518,1.29506
1034,2023-07-19 15:15:47.830928,1.29518,1.29506
1035,2023-07-19 15:15:47.899637,1.29518,1.29506
1036,2023-07-19 15:15:47.967158,1.29518,1.29506
1037,2023-07-19 15:15:48.030603,1.29518,1.29506
1038,2023-07-19 15:15:48.109059,1.29518,1.29506
1039,2023-07-19 15:15:48.178460,1.29518,1.29506
1040,2023-07-19 15:15:48.247549,1.29518,1.29506
1041,2023-07-19 15:15:48.422642,1.29518,1.29506
1042,2023-07-19 15:15:48.485129,1.29518,1.29506
1043,2023-07-19 15:15:48.594476,1.29518,1.29506
1044,2023-07-19 15:15:48.654851,1.29518,1.29506
1045,2023-07-19 15:15:48.717335,1.29518,1.29506
1046,2023-07-19 15:15:48.799261,1.29518,1.29506
1047,2023-07-19 15:15:48.865978,1.29518,1.29506
1048,2023-07-19 15:15:48.920285,1.29518,1.29506
1049,2023-07-19 15:15:48.991313,1.29518,1.29506
1050,2023-07-19 15:15:49.065844,1.29518,1.29506
1051,2023-07-19 15:15:49.122677,1.29518,1.29506
1052,2023-07-19 15:15:49.198262,1.29518,1.29506
1053,2023-07-19 15:15:49.263051,1.29518,1.29506
1054,2023-07-19 15:15:49.325849,1.29518,1.29506
1055,2023-07-19 15:15:49.411355,1.29518,1.29506
1056,2023-07-19 15:15:49.465284,1.29518,1.29506
1057,2023-07-19 15:15:49.543393,1.29518,1.29506
1058,2023-07-19 15:15:49.729605,1.29518,1.29506
1059,2023-07-19 15:15:49.849385,1.29518,1.29506
1060,2023-07-19 15:15:49.931117,1.29518,1.29506
1061,2023-07-19 15:15:50.023334,1.29518,1.29506
1062,2023-07-19 15:15:50.085819,1.29518,1.29506
1063,2023-07-19 15:15:50.148305,1.29518,1.29506
1064,2023-07-19 15:15:50.231038,1.29518,1.29506
1065,2023-07-19 15:15:50.304034,1.29518,1.29506
1066,2023-07-19 15:15:50.373848,1.29518,1.29506
1067,2023-07-19 15:15:50.439209,1.29518,1.29506
1068,2023-07-19 15:15:50.510454,1.29518,1.29506
1069,2023-07-19 15:15:50.570306,1.29518,1.29506
1070,2023-07-19 15:15:50.632789,1.29518,1.29506
1071,2023-07-19 15:15:50.712364,1.29518,1.29506
1072,2023-07-19 15:15:50.779240,1.29518,1.29506
1073,2023-07-19 15:15:50.841605,1.29518,1.29506
1074,2023-07-19 15:15:50.904123,1.29518,1.29506
1075,2023-07-19 15:15:50.966137,1.29518,1.29506
1076,2023-07-19 15:15:51.029283,1.29518,1.29506
